month,coin_name,symbol,open,high,low,close,volume,market_cap,monthly_return,log_return,cumulative_return,ma_20,ma_50,ma_200,rsi_14,macd,macd_signal,volatility_30d,max_drawdown,ath_price,atl_price,drawdown_from_ath,news_sentiment,news_count,news_impact_score,signal
2022-01,Bitcoin,BTC,27859.07,29644.98,22542.25,24437.57,2473938350,4.88,-0.1228,-0.131,-0.1228,23215.69,21993.81,20771.94,55,-0.614,-3.523,0.44,0,27859.07,24437.57,0.123,Positive,5,0.013,Loss
2022-02,Bitcoin,BTC,24437.57,26369.11,21425.92,22193.81,20017528879,1.12,-0.0918,-0.0963,-0.2146,21084.12,19974.43,18864.74,37,2.245,0.888,0.63,0,27859.07,22193.81,0.203,Negative,10,0.005,Loss
2022-03,Bitcoin,BTC,22193.81,23042.97,18147.18,18972.42,1120181579,2.56,-0.1451,-0.1568,-0.3598,18023.8,17075.18,16126.56,43,-4.229,3.119,0.65,0,27859.07,18972.42,0.319,Positive,15,-0.065,Loss
2022-04,Bitcoin,BTC,18972.42,20404.32,14403.61,15338.35,28132534542,2.78,-0.1915,-0.2126,-0.5513,14571.43,13804.51,13037.6,69,3.663,-1.996,0.49,0,27859.07,15338.35,0.449,Positive,20,0.011,Loss
2022-05,Bitcoin,BTC,15338.35,16758.42,14883.56,15676.26,39696613168,2.06,0.022,0.0218,-0.5293,14892.45,14108.64,13324.82,52,1.813,3.004,0.51,-0.022,27859.07,15338.35,0.437,Negative,8,0.007,Profit
2022-06,Bitcoin,BTC,15676.26,18017.42,14627.92,16783.1,27523023625,1.66,0.0706,0.0682,-0.4587,15943.95,15104.79,14265.64,44,2.637,-2.051,0.32,-0.094,27859.07,15338.35,0.398,Positive,10,0.028,Profit
2022-07,Bitcoin,BTC,16783.1,18307.45,13873.75,14920.9,2330939525,6.11,-0.111,-0.1176,-0.5696,14174.85,13428.81,12682.76,52,-2.192,2.111,0.27,0,27859.07,14920.9,0.464,Positive,8,-0.077,Loss
2022-08,Bitcoin,BTC,14920.9,16518.2,13536.51,15569.51,34679716189,1.75,0.0435,0.0426,-0.5262,14791.04,14012.56,13234.09,31,-4.564,-1.562,0.44,-0.043,27859.07,14920.9,0.441,Negative,8,-0.022,Profit
2022-09,Bitcoin,BTC,15569.51,20081.39,14396.57,18812.42,19759838458,2.69,0.2083,0.1892,-0.3179,17871.8,16931.18,15990.55,43,1.666,-3.153,0.28,-0.261,27859.07,14920.9,0.325,Negative,13,-0.016,Profit
2022-10,Bitcoin,BTC,18812.42,19673.24,15987.19,17244.77,7697947271,9.01,-0.0833,-0.087,-0.4012,16382.53,15520.3,14658.06,31,-1.457,-2.631,0.7,-0.156,27859.07,14920.9,0.381,Positive,25,0.009,Loss
